Start,End,Bitrate,Adapter
1682151033,1682151094,1000000000,lo
1682151094,1682151154,2000000000,lo
1682151154,1682151214,3000000000,lo
1682151214,1682151274,4000000000,lo
1682151274,1682151334,5000000000,lo
1682151334,1682151394,6000000000,lo
1682151394,1682151455,7000000000,lo
1682151455,1682151515,8000000000,lo
1682151515,1682151575,9000000000,lo
1682151575,1682151635,10000000000,lo
1682151635,1682151695,11000000000,lo
1682151695,1682151756,12000000000,lo
1682151756,1682151816,13000000000,lo
1682151816,1682151876,14000000000,lo
1682151876,1682151936,15000000000,lo
1682151936,1682151996,16000000000,lo
1682151996,1682152057,17000000000,lo
1682152057,1682152117,18000000000,lo
1682152117,1682152177,19000000000,lo
1682152177,1682152237,20000000000,lo
1682152237,1682152297,21000000000,lo
1682152297,1682152357,22000000000,lo
1682152358,1682152418,23000000000,lo
1682152418,1682152478,24000000000,lo
1682152478,1682152538,25000000000,lo
1682152538,1682152598,26000000000,lo
1682152598,1682152658,27000000000,lo
1682152658,1682152719,28000000000,lo
1682152719,1682152779,29000000000,lo
1682152779,1682152839,30000000000,lo
1682156411,1682156471,1000000,enp7s0
1682156471,1682156531,6000000,enp7s0
1682156531,1682156591,11000000,enp7s0
1682156591,1682156651,16000000,enp7s0
1682156651,1682156711,21000000,enp7s0
1682156711,1682156771,26000000,enp7s0
1682156771,1682156831,31000000,enp7s0
1682156831,1682156891,36000000,enp7s0
1682156891,1682156952,41000000,enp7s0
1682156952,1682157012,46000000,enp7s0
1682157012,1682157072,51000000,enp7s0
1682157072,1682157132,56000000,enp7s0
1682157132,1682157192,61000000,enp7s0
1682157192,1682157252,66000000,enp7s0
1682157252,1682157312,71000000,enp7s0
1682157312,1682157372,76000000,enp7s0
1682157372,1682157432,81000000,enp7s0
1682157432,1682157492,86000000,enp7s0
1682157492,1682157553,91000000,enp7s0
1682157553,1682157613,96000000,enp7s0
